RU,BE,Value
на свеце,на свече,0.10526315789473684
ды годзе,ты где,0.16917293233082706
у адказ,y otkaz,0.05701754385964912
побач з,посмотри,0.2763157894736842
няйначай як,начинайте так,0.23157894736842105
у тым ліку,там столько,0.324561403508772
па сутнасці,по существу,0.20095693779904308
няйначай як,ывфвывф,0.3421052631578948
але не,если не,0.19924812030075187
дзеля бога,ради бога,0.1526315789473684
яшчэ і,ыфвфвф,0.34962406015037595
побач з,посмотри с,0.3201754385964912
ледзьве не,чуть не,0.3078947368421052
па сутнасці,по сущности,0.11722488038277512
ледзьве не,"однако в рассказах дяди захара, едва ли не сказочное место и время проведение, слушатели ловили самое смешное",1.0210526315789477
як бы не так,kak by ne tak,0.15182186234817815
як бы не так,я не такой,0.22469635627530365
ды зусім,ты совсем,0.10526315789473684
не тое што,не то же самое,0.27192982456140347
ды годзе,шости,0.22932330827067668
у выніку,на изнанку,0.28947368421052627
няйначай як,и,0.4526315789473684
ледзьве не,нельзя не,0.22631578947368422
з боку,s vidu,0.11578947368421053
усе ж,вфвфыв,0.5263157894736842
у выглядзе,как выглядит,0.2302631578947368
яшчэ і,eshe i,0.22932330827067668
але не,а не,0.2894736842105263
тут жа,"«она ехала в свердловск», — сказал я  что пришло в голову, и сразу подумал: «а, может, и правда: она поехала в свердловск?»",1.889473684210527
не тое што,ни то что,0.1695906432748538
ды годзе,да ты что,0.16165413533834586
ўсе жыцце,все еще,0.2222222222222222
з улікам,с виду,0.26691729323308266
да гэтай пары,da getai,0.18660287081339716
ўсе жыцце,уже живу,0.20760233918128654
яшчэ і,ярче,0.21052631578947367
іменна што,что именно,0.2942583732057416
нягледзячы на,наглядеться на,0.17004048582995956
нічога падобнага,ничего подобного,0.07543859649122807
як вядома,я ведомо,0.08187134502923976
на свеце,в мире,0.2730263157894737
ад таго што,од того что,0.15526315789473685
ці што,это,0.31954887218045114
усе ж,все ж таки,0.631578947368421
усе ж,всё же,0.28289473684210525
яшчэ і,хотя и,0.21428571428571427
адным словам,одним словом,0.0645933014354067
чым больш,чем болс,0.17105263157894735
такім чынам,таким чинам,0.04736842105263158
з нагоды,с помощью,0.2565789473684211
на свеце,на свете,0.09539473684210525
перш чым,прежде чем,0.2706766917293233
побач з,навстречу к,0.5219298245614035
у выніку,в следствии,0.40460526315789463
у адказ,в ответ,0.15789473684210525
як вядома,"как известно, пчелы нужны для того, чтобы делать мёд.",0.9473684210526319
ды годзе,да перестань,0.33458646616541343
няйначай як,начинай,0.22368421052631576
у выглядзе,у,0.45833333333333337
па заканчэнні,po okonchanii,0.14692982456140347
толькі што,"старшина беллорусского фонда культуры владимир гилеп презентовал в ялте новое оригинальное произведение автора максима богдановича, только что выпущенное фондом культуры",1.0263157894736843
ад таго што,аж такого что,0.13157894736842107
да гэтай пары,да той пары,0.11961722488038277
не раз,ner,0.27192982456140347
ўсяго толькi,всякого только,0.1411483253588517
ды зусім,и совсем,0.19548872180451127
з нагоды,с визитом,0.24013157894736842
што называецца,ч,0.48245614035087714
ледзьве не,едва не,0.17631578947368423
з улікам,по росту,0.2706766917293233
ды зусім,да -чаем,0.15037593984962405
у выніку,"сикхизм — религия, зародившаяся на индийском субконтиненте. он появился в 15 веке в регионе пенджаб в результате возникновения различных сектантских групп в индуизме.",1.3289473684210527
ці што,ili chto,0.17293233082706766
ўсяго толькi,vsego tol'ko,0.13397129186602869
ўсяго толькi,усажены только,0.16028708133971292
па заканчэнні,в конце,0.27631578947368424
ды годзе,л,0.3157894736842105
перш чым,чем,0.31954887218045114
ўсе роўна,все равно,0.11184210526315791
што называецца,как говорится,0.23157894736842108
па заканчэнні,по заключению,0.21271929824561403
а то і,а ещё и,0.17293233082706766
па сутнасці,по ситуации,0.1937799043062201
недалека ад,недалеко,0.16028708133971292
перш чым,пред чем,0.23308270676691728
па чутках,чутьем,0.26644736842105265
па сутнасці,по дням,0.2894736842105263
тут жа,тут,0.2
амаль што,"яна поняла, что когда станет взрослой, то ее будут окружать мужчины",1.308270676691729
у выглядзе,padaet,0.3333333333333333
амаль што,амаль што,0.05263157894736842
нягледзячы на,ih osudili nesmotrja na serjoznie somnenija v ih roli v etoj tragediji,1.2125506072874492
яшчэ і,ещё и,0.26691729323308266
ўбок,в сторону,0.7171052631578947
усе ж,усе ж,0.046052631578947366
у сутнасці,в сущности,0.16842105263157897
на яго думку,по его мнению,0.2675438596491228
па заканчэнні,п,0.42982456140350883
ўсе роўна,"и сколько бы  ни зарабатывал, хоть миллион, хоть миллионов, тебе все равно  мало.",1.2499999999999998
няйначай як,начал как,0.21842105263157896
ды зусім,так ты совсем,0.33834586466165417
не тое што,"не то, что",0.1783625730994152
за кошт,потому что,0.3120300751879699
па чутках,предчувствие,0.29276315789473684
ледзьве не,ыфвфвы,0.39473684210526316
ў сілу,в селе,0.15789473684210525
усе ж,все ж,0.1644736842105263
ўбок,уеьорк,0.5197368421052632
а то і,а может и,0.19548872180451127
усе ж,уже ж,0.05921052631578947
няйначай як,а отец миколки лапал няню.,0.7526315789473684
ледзьве не,ледзьве,0.2789473684210526
як бы не так,"как бы не так, сказал ей освобождая руки",0.7449392712550605
з нагоды,насчет,0.2532894736842105
такім чынам,takim obrazom,0.16052631578947368
толькі што,старшина белорусского фонда культуры уладзимир гилеп презентавал у яль,1.166666666666667
ды зусім,еще совсем,0.3270676691729324
на сябе,na sebya,0.16541353383458646
ўсяго толькi,всего только,0.1172248803827751
ды годзе,говори,0.18045112781954886
як бы не так,а бы не как,0.24089068825910934
усе ж,"меня удивило, что даже у сельских мужиков, простых и грубых, с женщинами особые отношения.",2.861842105263158
як вядома,как видимо,0.08771929824561403
дзеля бога,слава богу,0.15526315789473683
ў канцы,в конце,0.13157894736842105
толькі што,только что,0.12573099415204678
у выглядзе,и выглядят,0.18859649122807015
ледзьве не,почти не,0.2578947368421053
мiж iншым,mezhdu prochim,0.26315789473684215
па заканчэнні,po okanchaniu,0.16008771929824558
на свеце,на,0.375
ўсе роўна,"сколько бы я не зарабатывал, хоть миллион, хоть сто миллионов, тебе все равно будет мало",1.3124999999999998
ледзьве не,разве не,0.17894736842105263
з улікам,с роста,0.2894736842105263
як бы не так,как бы не,0.2591093117408907
не раз,неоднократно,0.5263157894736842
нічога падобнага,ничего подобношл,0.1
а то і,а то и,0.22932330827067668
у адказ,на отказ,0.2017543859649123
не тое што,д,0.4678362573099416
адным словам,нагим словам,0.16028708133971292
тым больш,чем больше,0.24561403508771928
а то і,а то я,0.20676691729323307
толькі што,тольео что,0.09649122807017543
па чутках,хз,0.41776315789473684
чым больш,чем больше,0.25
за кошт,из-,0.37593984962406013
няйначай як,невзначай так,0.17894736842105263
яшчэ і,яица,0.19172932330827067
ледзьве не,лед,0.37105263157894736
ўсе жыцце,vse jivet,0.22807017543859648
у тым ліку,в том виде,0.20760233918128654
па чутках,"а может, это был волк-людоед, которых, по слухам, много развелось в пущах",1.486842105263158
за кошт,за,0.3571428571428571
не тое што,ывфвф,0.38888888888888884
ўсяго толькi,?,0.27511961722488043
ці што,"ты же сам говорил. не помнишь, или что?",1.5977443609022552
недалека ад,не далеко от,0.08851674641148324
у сутнасці,в ситуации,0.25526315789473686
няйначай як,л,0.25263157894736843
дзеля бога,божье дело,0.16052631578947368
няйначай як,совсем как,0.21315789473684207
на яго думку,в его мыслях,0.2697368421052631
на яго думку,по его идее,0.22149122807017546
да гэтай пары,мне с любовью говорят: «какое у тебя мускулистое тело».,0.9043062200956936
мiж iншым,между прочим,0.27960526315789475
у адказ,"ступак что-то бормотал в ответ, что мало понимает сам",1.5789473684210522
не тое што,"да и не то, чтобы",0.3157894736842105
на сябе,на,0.3571428571428571
як бы не так,если бы не так,0.21862348178137653
за кошт,за счет,0.19548872180451127
яшчэ і,"за словом мистификация, часто кроется также примитивная, лживая",1.2556390977443603
у адказ,отказ,0.10526315789473684
ў канцы,on pomogaet otvechatj na voprosi na diplomaticjnih kanalah. otnoshenija mezdu amerikoj i kitaem budet priblizitelno v konce 1970 godov,2.6428571428571437
ці што,это что,0.16541353383458646
не тое што,ne to chto,0.16666666666666666
ўбок,"kапитан шевельнул упрямым подбородком, указывая в сторону.",3.375
ды зусім,да с этим,0.05639097744360902
як толькі,как только,0.16165413533834586
у адказ,в отказ,0.10087719298245613
тут жа,и тут же,0.24210526315789474
да гэтай пары,"до этой поры мне с любовью говорят: ""какое у тебя гладкое и мускулистое тело""",0.9760765550239232
ці што,ці што,0.14661654135338345
у выніку,в эпоху,0.2236842105263158
хіба толькі,хлеб только,0.14327485380116958
амаль што,л,0.3421052631578947
на яго думку,по его мненибю,0.24999999999999997
не раз,не раз видать яны про это г,1.289473684210526
няйначай як,найман,0.26842105263157895
мiж iншым,между ними,0.2631578947368421
перш чым,перед тем как,0.3571428571428571
за кошт,s,0.4323308270676691
ледзьве не,edva li ne,0.24736842105263157
па сутнасці,"однако кого-то конкретного не искали, сразу остановились на  четырех путешественниках, хотя, по сути, никаких конкретных обвинений против них не было.",0.9401913875598084
мiж iншым,меж прочим,0.20723684210526314
ці што,или что,0.20300751879699247
дзеля бога,"бога ради, оставьет в покое мою бедную голову",1.0315789473684216
хіба толькі,разве что,0.27777777777777773
няйначай як,не иначе как,0.09473684210526316
ды годзе,ты чего,0.16541353383458646
з боку,с боку,0.005263157894736842
што называецца,"как говорится, не в службу, а в дружбу.",0.5964912280701754
ў канцы,а,0.47744360902255634
ўбок,у,0.4144736842105263
ўсе жыцце,все,0.3742690058479532
як вядома,kak izvestno,0.28654970760233917
не тое што,не то чтобы,0.2134502923976608
ды годзе,подожди,0.12406015037593984
за кошт,посредством,0.40601503759398494
яшчэ і,б,0.22932330827067668
як бы не так,ш,0.4919028340080971
недалека ад,rjadom s,0.284688995215311
але не,но не,0.2593984962406015
у выглядзе,kogda,0.3486842105263159
у выглядзе,смотря на,0.2763157894736842
ледзьве не,лучше не,0.20263157894736844
недалека ад,а,0.4617224880382776
тым больш,тем бол,0.21052631578947367
адным словам,"другими словами, под минской есть иакая специальная больница, где раньше умирали вот такие осуждённые.",0.8444976076555023
у выглядзе,и выглядит,0.19298245614035084
іменна што,именно,0.27990430622009577
такім чынам,таким,0.25526315789473686
перш чым,потом,0.20676691729323307
ў канцы,и конца,0.14285714285714285
амаль што,неизвестно что,0.5451127819548871
з улікам,с поводом,0.19924812030075187
але не,но нет,0.30451127819548873
дзеля бога,radi boga,0.15
за кошт,из за,0.35338345864661647
амаль што,не что,0.23684210526315788
ці што,ты что,0.21052631578947367
ўбок,вбок,0.07894736842105263
за кошт,за которыми,0.37969924812030076
па сутнасці,на деле,0.30143540669856467
не тое што,это не то,0.15789473684210525
але не,но о,0.3496240601503759
ледзьве не,лезвье не,0.14210526315789476
ці што,или как,0.3157894736842105
не раз,не единожды видел они об этом говорили,1.7061403508771926
па заканчэнні,по окончанию,0.19298245614035087
усе ж,уже,0.1907894736842105
ці што,или нет,0.29323308270676696
усе ж,всё-таки,0.5657894736842105
ўсяго толькi,у всякого только,0.215311004784689
тым больш,тем больше,0.21052631578947367
у выглядзе,при виде,0.31140350877192985
можна сказаць,"можно сказать, ему просто ..., лищь бы только получилось",0.8253588516746411
у тым ліку,в том лугу,0.16374269005847952
іменна што,л,0.31818181818181823
ў сілу,е,0.4631578947368421
усе ж,все же,0.28289473684210525
мiж iншым,"в беларуси ""зарплата"" одного часа работы медицинского работника составляет всего 4404 реблй, а это, между прочим, только 59 процентов от оплаты за час работы в промышленности",0.9967105263157894
да гэтай пары,где то парни,0.19138755980861247
хіба толькі,хоть только,0.1695906432748538
у выглядзе,в виде,0.3508771929824562
іменна што,іменна што,0.14354066985645936
такім чынам,таким ценам,0.02631578947368421
побач з,увидев её,0.5482456140350878
ды годзе,da xvatit,0.3308270676691729
у тым ліку,наподобие,0.28654970760233917
тут жа,тут же,0.02631578947368421
нягледзячы на,они были осуждены не смотря на серьезные сомнения,0.7327935222672064
з боку,с бока,0.031578947368421054
амаль што,почти что,0.3308270676691729
з улікам,с признаками,0.36466165413533824
па чутках,что,0.3684210526315789
нічога падобнага,ни подобно,0.22631578947368416
тут жа,к свярдлойской была- сказку я рассказывала про прошедший год,2.705263157894738
у тым ліку,на том лугу,0.12573099415204678
нягледзячы на,на самом деле,0.24696356275303646
ды зусім,ты думаешь,0.25187969924812026
нічога падобнага,ни ранее мне ничего подобного не рассказывал,0.44561403508771924
у адказ,"ступак что-то пробормотал в ответ, чего сам нe понял.",2.1622807017543852
з улікам,с учётом,0.12030075187969924
з улікам,в связи,0.2969924812030075
адным словам,одным словом,0.04545454545454545
з нагоды,не знаю,0.25328947368421056
адным словам,odnim slovom,0.035885167464114825
у выніку,у веника,0.12499999999999997
нягледзячы на,не знаю,0.28542510121457493
ў канцы,с конца,0.12030075187969924
нічога падобнага,никто раньше мне ничего подобного не рассказывал.,0.46842105263157885
ў канцы,к концу,0.15037593984962405
з улікам,е,0.45112781954887216
з нагоды,so storoni,0.1743421052631579
мiж iншым,муж,0.32894736842105265
хіба толькі,н,0.48538011695906436
у выглядзе,в выгляде,0.28289473684210525
амаль што,ыфвфвы,0.33458646616541354
у сутнасці,в смысле,0.31315789473684214
амаль што,мало ли,0.25187969924812026
да гэтай пары,для этой пары,0.08851674641148326
іменна што,именно то,0.19617224880382778
толькі што,следомтолько что,0.4649122807017544
з нагоды,с наградой,0.23355263157894737
ў сілу,v silu,0.06842105263157895
ўсе жыцце,по жизни,0.20760233918128654
толькі што,глава белорусского фонда культура владимир гилеп представил в ялте новое оригинальное издание сочинений максима богданович только что выпущенное,1.125730994152047
у выглядзе,на глазах,0.31140350877192985
няйначай як,назначай как,0.15
побач з,представляю себя вбольничном халате,1.508771929824561
ўсе жыцце,все живое,0.13450292397660818
амаль што,едва ли не,0.36466165413533835
ледзьве не,о,0.481578947368421
за кошт,за цену,0.24812030075187969
у тым ліку,и тому,0.24269005847953215
хіба толькі,только хитрый будь,0.45029239766081863
ды зусім,ты есть,0.22932330827067668
па сутнасці,па,0.40909090909090917
за кошт,с,0.4323308270676691
дзеля бога,дело бога,0.15526315789473683
што называецца,kak govoritsa,0.24035087719298248
мяркуючы па ўсім,пока,0.3982456140350877
яшчэ і,также,0.2857142857142857
нягледзячы на,nesmotrja,0.24291497975708504
а то і,а может,0.2706766917293233
тут жа,"в свердловске вышла - сказал я первое, что пришло в голову, и тут же подумал: ""а может, и правда, в свердловске вышла?""",1.7736842105263164
ці што,что это,0.16165413533834586
нягледзячы на,несмотря на,0.19028340080971662
нягледзячы на,не глядя на,0.18825910931174092
не тое што,"их не было, насколько мне известно ни в спальне ни на книжных полках как+будто они нигде не были",1.1783625730994154
не раз,dd,0.25
па заканчэнні,пора заканчивать,0.23464912280701755
ўсяго толькi,5г,0.3803827751196173
мiж iншым,между тем,0.19078947368421054
ў сілу,сила,0.1894736842105263
на яго думку,"по ему мнению, у нас на подобные темы пишут неинтересно и мало.",0.8684210526315788
у адказ,у,0.41666666666666663
такім чынам,таким образом,0.16052631578947366
можна сказаць,можно сказать,0.035885167464114825
але не,а не так,0.25187969924812026
недалека ад,подалеку,0.21291866028708134
у выглядзе,в,0.4517543859649123
за кошт,iz za,0.3609022556390977
як вядома,я аидела,0.1783625730994152
можна сказаць,со,0.4473684210526317
ды зусім,да вовсе,0.21804511278195488
нічога падобнага,nich,0.4035087719298245
ад таго што,от такого что,0.17894736842105266
па чутках,как только,0.2269736842105263
мяркуючы па ўсім,chestno govoria,0.26842105263157895
ўбок,выйбок,0.3618421052631579
амаль што,мало ли что,0.3383458646616541
як мінімум,как минимум,0.05789473684210526
па чутках,по ощущениям,0.3848684210526316
ды годзе,ды годзе,0.11654135338345864
хіба толькі,только,0.2807017543859649
няйначай як,не иначе чем,0.1394736842105263
ды годзе,ты годен,0.16165413533834586
на сябе,на себя,0.09022556390977443
іменна што,"говори, что думаешь. и если уж говоришь, то думай.",0.6794258373205742
як бы не так,як бы не так,0.17004048582995954
у сутнасці,ne znay,0.3
ўсе роўна,"сколько бы я не смотрел, хоть миллион,хоть",1.401315789473684
як бы не так,как бы не так,0.14979757085020243
па чутках,по слухам,0.2006578947368421
ў сілу,с силой,0.3421052631578947
ўсяго толькi,у самого только,0.16507177033492826
па чутках,по чуть-чуть,0.12499999999999999
ледзьве не,"однако в рассказаз дядьки захара, лезвие не",1.0842105263157897
ўсе роўна,vse ravno,0.18092105263157893
усе ж,vse zhe,0.29605263157894735
усе ж,все уже,0.381578947368421
ўсе жыцце,всё же,0.27485380116959063
у тым ліку,в прошлом году,0.3450292397660819
што называецца,что называется,0.10350877192982456
з боку,сбоку,0.005263157894736842
на сябе,на себе,0.10526315789473684
у выглядзе,не знаю,0.3114035087719298
недалека ад,близко к,0.2894736842105263
амаль што,?,0.22556390977443608
у сутнасці,по сути,0.28157894736842104
з боку,s kraju,0.22631578947368422
па заканчэнні,по,0.4298245614035088
як вядома,как известно,0.23976608187134502
ўбок,в бок,0.20394736842105263
з боку,с точки зрения,0.9105263157894735
па сутнасці,na sytnasti,0.09808612440191387
у выніку,в,0.4276315789473684
ды годзе,с богом,0.2894736842105263
амаль што,то ли,0.31203007518796994
толькі што,тол,0.36257309941520466
можна сказаць,можно ска,0.16985645933014354
у тым ліку,там были,0.2719298245614035
у тым ліку,у них были,0.21637426900584794
ды годзе,боже,0.26691729323308266
ў канцы,v kontse,0.22180451127819548
ледзьве не,не только,0.23157894736842108
побач з,поговорить,0.3947368421052631
ды годзе,да позже,0.14661654135338345
як вядома,как сказано,0.16666666666666666
амаль што,если только,0.3984962406015038
а то і,а то,0.2894736842105263
ўсяго толькi,"это было уже не болото, а просто окошко возле старого пня.",1.0287081339712916
тут жа,tyt je,0.042105263157894736
на яго думку,po ego mneniu,0.2214912280701754
не тое што,"их не было, насколько я смог понять, и в спальне, не то что книдный палец  нигде книг не виделось",0.9181286549707603
тут жа,я тут же,0.31052631578947365
не раз,не раз,0.11842105263157894
ўсяго толькi,ывфвфы,0.4138755980861245
ды годзе,фывфвыфыв,0.3308270676691729
з улікам,в виде,0.24812030075187969
хіба толькі,разве только хитрец,0.5058479532163743
адным словам,вообщем,0.3038277511961723
ды годзе,согласен,0.2593984962406015
у выніку,в период,0.29276315789473684
такім чынам,"таким образом, по экспертной оценке, инфляция с навала года составила 4",0.928947368421053
мiж iншым,meshdy prochim,0.24999999999999997
ўсяго толькi,всего,0.3301435406698565
на свеце,"знаешь, наташа, я  счастливая женщина на свете, когда у меня такой муж.",1.3815789473684208
з боку,бок,0.2
ўсе жыцце,все жизнь,0.20175438596491227
па заканчэнні,с конца,0.28728070175438597
з нагоды,с выгоды,0.13486842105263158
можна сказаць,mojno skazat,0.035885167464114825
перш чым,перед тем,0.18045112781954886
з нагоды,со стороны,0.17434210526315788
дзеля бога,ради б,0.3105263157894737
не раз,ни раз,0.09210526315789473
па сутнасці,по сути,0.24641148325358853
а то і,а то и я,0.23684210526315788
у выніку,y vuniky,0.10526315789473682
не тое што,не тое што,0.03216374269005848
на яго думку,на его сумку,0.1162280701754386
ад таго што,а того что,0.15263157894736842
недалека ад,недалеко от,0.08851674641148324
адным словам,другими словами,0.284688995215311
але не,или не,0.19172932330827067
мяркуючы па ўсім,судя по,0.3596491228070175
ўсяго толькi,ўсяго толькi,0.08373205741626794
за кошт,н,0.4473684210526315
але не,он не,0.2631578947368421
яшчэ і,за словом мистификация часто скрывается лживая и беспринципная натура,1.6766917293233077
можна сказаць,можна сказать,0.035885167464114825
нягледзячы на,наглядно,0.24291497975708504
па заканчэнні,v konec,0.26535087719298245
да гэтай пары,до этой поры,0.0741626794258373
у выніку,в случае,0.2861842105263158
амаль што,только что,0.3120300751879699
ды годзе,не беспокойся,0.45112781954887216
побач з,smotretj,0.3114035087719298
з улікам,с уликами,0.12781954887218044
у выглядзе,и похоже на,0.2258771929824561
ці што,что ли,0.2593984962406015
ўсе жыцце,"хотя, знаешь, иногда мне кажется, что я всю жизнь был мужчиной.",1.0350877192982457
з нагоды,е,0.4473684210526316
з улікам,bolshoj,0.22180451127819548
ўбок,на бок,0.26973684210526316
ці што,фывфыв,0.3571428571428571
амаль што,а мало что,0.16165413533834586
у тым ліку,у тебя лук,0.24561403508771928
на свеце,na svete,0.09210526315789473
нягледзячы на,насмотреться на,0.20850202429149803
амаль што,разве что,0.3120300751879699
хіба толькі,вроде только,0.16374269005847952
да гэтай пары,до сих пор,0.18660287081339716
няйначай як,начал было,0.24736842105263157
не тое што,не того что,0.09649122807017543
як вядома,с ведома,0.18128654970760233
ўсе жыцце,всю жизнь,0.21637426900584794
па заканчэнні,по окончании,0.15350877192982457
нягледзячы на,не смотря на,0.19028340080971662
нягледзячы на,яна была осужденная,0.3502024291497975
ды годзе,"да хватит, богдан. знаю я, что ты расскащешь",1.2481203007518793
па сутнасці,по случайности,0.18660287081339713
побач з,а,0.4429824561403508
па заканчэнні,после окончания,0.26973684210526316
не раз,не ра,0.19736842105263158
ледзьве не,только не,0.23421052631578948
як бы не так,как бы н,0.30364372469635625
з улікам,s uchetom,0.15789473684210525
побач з,рядом с,0.19736842105263158
усе ж,уже с,0.07894736842105263
яшчэ і,также и,0.21052631578947367
мяркуючы па ўсім,"думая о все, полвосник был человек разговорчивый и",0.5894736842105263
ды зусім,да совсем,0.13157894736842105
да гэтай пары,да,0.40909090909090917
у тым ліку,там есть,0.3333333333333333
можна сказаць,mozhno skazatj,0.07894736842105263
але не,это не к,0.26691729323308266
у выніку,у внука,0.16447368421052633
ўсе жыцце,все жизни,0.15204678362573099
да гэтай пары,до этой,0.23923444976076558
у сутнасці,"по сути, никакой особой работы или опасности в охоте нет",0.9157894736842109
на яго думку,po ego mneniju,0.256578947368421
з нагоды,о выгоде,0.1644736842105263
побач з,поговорю с,0.3596491228070175
ўбок,лег,0.23684210526315788
за кошт,за каждый,0.24436090225563908
усе ж,б,0.6578947368421053
тым больш,тем болфе,0.2631578947368421
ды годзе,да ладно,0.12406015037593984
тым больш,тем более,0.3728070175438596
да гэтай пары,да любой,0.25358851674641153
усе ж,все,0.256578947368421
побач з,посмотреть с,0.3289473684210526
не раз,одн,0.3201754385964912
яшчэ і,яш,0.3007518796992481
як толькі,если только,0.3308270676691729
ды годзе,"ты где, богдан, жду когда ты мне скажешь",1.6240601503759393
ці што,д,0.4436090225563909
з нагоды,с теперяшней,0.3585526315789474
не раз,"судя по всему, он говорил об этом не раз...",1.7675438596491224
іменна што,имена что,0.16746411483253593
ці што,ты же сам говорил. не помнишь что это?,1.3834586466165408
ад таго што,от того что,0.15526315789473685
ўсе роўна,"и сколько раз бы я не говорил, хоть сто миллиорнов, тебе всё равно будет мало",1.4374999999999998
іменна што,фывфывыфы,0.25598086124401914
ўсе роўна,ещё рано,0.14802631578947367
ў сілу,в силу,0.12631578947368421
мiж iншым,между этим,0.20394736842105263
побач з,по,0.3333333333333333
у выглядзе,не видно,0.28947368421052627
ад таго што,до того что,0.19473684210526318
перш чым,первым,0.10526315789473684
з боку,со стороны,0.5631578947368421
яшчэ і,если и,0.26315789473684215
у выніку,в результате,0.2993421052631579
ў канцы,надо разбираться с дипломатичными проблемами,1.2894736842105259
усе ж,уже же,0.19736842105263158
нягледзячы на,неглядя на,0.18825910931174092
да гэтай пары,к паре,0.3157894736842106
па заканчэнні,н,0.48245614035087725
амаль што,а такой что,0.30827067669172925
з улікам,с учетом,0.10150375939849623
у выглядзе,первый,0.3442982456140351
ды годзе,ты хорош,0.18796992481203006
нягледзячы на,серьезные со,0.15182186234817818
што называецца,chto nazivaietsja,0.05263157894736842
ўбок,капитан меж тем,1.3157894736842104
ўсяго толькi,у всего только,0.14832535885167464
адным словам,в общем,0.29665071770334933
ў сілу,ы силу,0.12105263157894737
ў канцы,v konce,0.14285714285714285
нягледзячы на,не смотри,0.2591093117408907
хіба толькі,толь,0.3830409356725146
за кошт,за счёт,0.20300751879699247
недалека ад,nedaleko,0.16746411483253587
дзеля бога,ради богу,0.16578947368421051
не тое што,не то что,0.18128654970760233
няйначай як,как,0.3736842105263158
як толькі,я только,0.08646616541353383
ды зусім,зачем,0.20300751879699247
ледзьве не,не знаю,0.24210526315789477
побач з,увидев,0.30701754385964913
не раз,не разщ,0.12280701754385964
усе ж,"меня поразило то,что у простых и грубых мужчин отношения с женщинами",2.894736842105263
ледзьве не,разве нет,0.22894736842105262
з нагоды,по поводу,0.12828947368421054
ўсяго толькi,уже только,0.19617224880382778
недалека ад,недалекот от,0.13636363636363638
з боку,е,0.5052631578947369
перш чым,перед чем,0.14661654135338348
нічога падобнага,ничего подоб,0.187719298245614
толькі што,"председатель белорусского фонда культуры владимир гилеп представил в ялте новое  издание произведений максима богдановича,  выпущенное фондом культуры.",1.1198830409356728
ўсе роўна,всё равно,0.125
побач з,posmotri,0.2719298245614035
па чутках,a mozhet eto bil ljudojed kogtorix mnogo razvelosj v okrestnix lesax,2.2368421052631575
у выніку,в край,0.3355263157894737
у выглядзе,е,0.46052631578947373
але не,иь,0.3721804511278195
як вядома,как видно,0.1286549707602339
як вядома,как повелось,0.23684210526315788
нічога падобнага,о,0.4771929824561403
яшчэ і,еще и,0.2556390977443609
ўсе роўна,все,0.35855263157894735
мяркуючы па ўсім,sudja po usam,0.24210526315789468
іменна што,"именно, что",0.15789473684210525
да гэтай пары,об этой паре,0.1220095693779904
з боку,cboku,0.06315789473684211
з улікам,по уликам,0.14285714285714285
на яго думку,на всякий случай,0.23903508771929824
ўсе роўна,все ровно,0.09210526315789475
ўсяго толькi,всего лишь,0.23205741626794257
у сутнасці,у ситуации,0.21052631578947367
хіба толькі,если только,0.20175438596491227
толькі што,tol'ko chto,0.11695906432748537
ўбок,v bok,0.21052631578947367
яшчэ і,я,0.36842105263157887
мяркуючы па ўсім,судя по всему,0.2947368421052632
іменна што,именно это,0.16028708133971292
з нагоды,с,0.4407894736842105
іменна што,имена,0.27990430622009577
што называецца,как называемое,0.1754385964912281
ці што,или,0.3609022556390977
ўсе жыцце,уже,0.3508771929824561
у тым ліку,в том числе,0.3157894736842105
іменна што,именно что,0.17464114832535887
на сябе,"таким образом, версии сошлись в неприятном открытии  мистификаций, более полувека натягивавших маску оригинальных текстов.",1.5939849624060145
не раз,они не раз говорили про это,1.5219298245614032
нічога падобнага,ывф,0.4403508771929824
недалека ад,nedaleko ot,0.09330143540669857
нягледзячы на,ал,0.44331983805668007
ўсе роўна,все ровн,0.14802631578947367
у адказ,в отрицание,0.587719298245614
ледзьве не,лезвие не,0.1710526315789474
нягледзячы на,поглядев,0.27327935222672073
няйначай як,невзначай как,0.17894736842105263
яшчэ і,яшчэ і,0.022556390977443608
няйначай як,няйничн,0.23947368421052634
ўсе жыцце,все же,0.27485380116959063
ўбок,бок,0.125
а то і,но и,0.36842105263157887
як бы не так,ывфвыв,0.3562753036437246
нічога падобнага,ничем не помог,0.21052631578947364
з нагоды,на,0.39144736842105265
няйначай як,няйначай як,0.042105263157894736
нічога падобнага,нічога падобнага,0.06666666666666667
усе ж,"меня угораздило, то даже у с",2.7302631578947367
нягледзячы на,nesmotrya na,0.15789473684210525
ледзьве не,?,0.2789473684210526
няйначай як,никак,0.2710526315789474
у выглядзе,выпал,0.36403508771929827
ўсяго толькi,всякого толка,0.1411483253588517
да гэтай пары,до этой пары,0.0741626794258373
такім чынам,таким людям,0.0763157894736842
у выніку,в целях,0.26315789473684215
па чутках,по чувству,0.19407894736842105
за кошт,ценой,0.2631578947368421
