RU,UK,Value
нічого подібного,ничего,0.32456140350877194
за чутками,за чуть-чуть,0.17543859649122806
у формі,"фактически все компьютеры, которыми сегодня пользуются, практикуют обработку информации закодированную бинарными числами.",1.8377192982456134
але ж,да будет,0.625
мало не,немало,0.22807017543859645
саме що,сами что,0.09398496240601503
тут же,и тут же,0.42105263157894735
ціле життя,полного житья,0.23421052631578948
у відповідь,не знаю,0.284688995215311
від того що,в виду того что,0.18181818181818185
з огляду на,с,0.45029239766081874
можна сказати,5,0.4451754385964913
перш ніж,мы первые,0.3496240601503759
між іншим,между прочи,0.2222222222222222
не раз,никогда,0.35789473684210527
але ж,как же,0.45394736842105265
все ж,vse,0.19736842105263158
не раз,"однажды я был поранен стрелою. потом хирурги перевязали рану, залепляную землей, смешанной с по",2.357894736842106
але ж,но же,0.35526315789473684
тільки шо,"того, что",0.21428571428571427
між іншим,ме,0.38888888888888895
в будь-якому випадку,в всяком случае,0.26006191950464397
чи що,что еще,0.4473684210526316
саме що,именно что,0.2706766917293233
на світі,"перед сном вона обов'язково читала йому вголос, потім вони розмовляли про все на світі, поки останні слова не поринали в сон.",1.4868421052631577
як тільки,только,0.2631578947368421
як відомо,tak vidimo,0.12368421052631579
одним словом,в общем,0.3062200956937799
хоча б,"******* признается совершенным на территории украины, если его исполнитель или хотя бы один из соучастников ***** на территории украины.",2.178947368421053
у формі,у,0.41666666666666663
від того що,от того,0.33253588516746413
із боку,из боку,0.008771929824561403
у кінці,v kontze,0.2669172932330827
чи не,если не,0.6381578947368421
з приводу,с установкой,0.368421052631579
за чутками,po sluxam,0.2309941520467836
від того що,в итоге что,0.19617224880382775
у формі,в виде,0.2763157894736842
перш ніж,переж тем,0.17669172932330826
мало не,мало того,0.22807017543859645
але ж,а то ж,0.125
за його думкою,ego muslyami,0.22064777327935226
за його думкою,в его мнение,0.22672064777327938
таким чином,таким статусом,0.19210526315789472
в тому числі,в том числе,0.18157894736842106
з огляду на,по причине,0.1695906432748538
аж до,вфы,0.28289473684210525
після того як,"после того, как сопротивление группы бухарина было сломлено, пересмотру этого решения ничто не ******",0.6842105263157894
але ж,а и,0.2631578947368421
в результаті,в результатах,0.1236842105263158
все ж,все же,0.19736842105263158
убік,вбок,0.1907894736842105
між іншим,можем,0.26023391812865493
з огляду на,со стороны,0.12573099415204678
саме що,a,0.43984962406015027
не інакше як,не,0.42105263157894746
із боку,со стороны,0.4780701754385965
усього-на-всього,один на всех,0.21491228070175436
таким чином,таким образом,0.16842105263157894
убік,6г,0.4013157894736842
як би не так,как,0.3736842105263158
таким чином,таким обз,0.1894736842105263
чи не,это не,0.3157894736842105
за рахунок,вместе,0.30409356725146197
в будь-якому випадку,а,0.49071207430340563
поруч з,ручка,0.32894736842105265
у формі,у форме,0.021929824561403508
у кінці,у кон,0.24812030075187969
не те що,не,0.37593984962406013
поруч з,рядом с,0.206140350877193
хоча і,хоть и,0.13157894736842105
з огляду на,с учётом,0.1871345029239766
за рахунок,за счёт,0.2573099415204678
з урахуванням,в соответствии,0.3201754385964912
як тільки,я только,0.12171052631578946
перш ніж,первый из,0.16917293233082706
у кінці,в конце,0.18796992481203006
мало не,мало,0.18859649122807018
в результаті,v rezultate,0.15000000000000002
на себе,"всі хочуть командувати, але ніхто не хоче звалити на себе відповідальність…",1.7456140350877187
тут же,"коли ж навідався до делятина, його хтось побачив і тут же здав.",3.0855263157894735
ще і,ещ,0.44736842105263164
чи не,что ли,0.30921052631578944
поруч з,ыфвфы,0.3464912280701754
не інакше як,не инач,0.26315789473684215
таким чином,5,0.4052631578947368
з огляду на,из-за,0.3801169590643275
неподалік від,неподалёку от,0.09716599190283401
чи не,как бы,0.29605263157894735
ціле життя,все,0.3947368421052631
перш ніж,перел,0.22932330827067668
після закінчення,пмсьма,0.38947368421052625
з приводу,поводу,0.18750000000000003
на себе,на с,0.2631578947368421
саме що,самое что,0.22932330827067668
перш ніж,перед ним,0.19924812030075187
за чутками,за зака,0.21052631578947367
усього-на-всього,как никак,0.2850877192982456
між іншим,между теми,0.22514619883040934
як відомо,н,0.4868421052631578
хоча б,хочет бы,0.28421052631578947
чи що,ес,0.32105263157894737
а то й,с тем,0.28289473684210525
за його думкою,н,0.47165991902834004
по сутi,по сути,0.017543859649122806
саме що,самые что,0.21052631578947367
мало не,практически не,0.6885964912280701
тим більше,те,0.39144736842105265
поруч з,поручни,0.19736842105263158
в істоті,по сути,0.1611842105263158
ну гаразд,ну хорошо,0.13157894736842105
не те що,не то что мы,0.22180451127819548
із боку,с краю,0.25877192982456143
в будь-якому випадку,с какой стороны,0.28018575851393185
з приводу,я не знаю,0.32565789473684215
у відповідь,в ведповать,0.13636363636363638
усього-на-всього,na,0.4429824561403509
як відомо,как следует,0.21842105263157896
а то й,не понимаю,0.9539473684210527
не те що,"не те, что",0.19924812030075187
з урахуванням,засчет,0.32456140350877194
тим більше,тем больше,0.04934210526315789
перш ніж,первый ниже,0.2744360902255639
від того що,вил того кто,0.16507177033492823
саме що,саме,0.24812030075187969
що називається,е,0.5037593984962405
одним словом,odnim,0.27272727272727276
за чутками,по слухам,0.2222222222222222
ради бога,п,0.4276315789473684
за рахунок,за счет,0.26900584795321636
між іншим,mezhdu prochim,0.23391812865497075
хіба що,похлебка,0.2781954887218045
все одно,всё одно,0.09022556390977443
не раз,ни рах,0.1
тільки шо,тооько что,0.2744360902255639
поруч з,теперь мы передаем слово нашему главному экономисту.,1.9649122807017536
судячи з усього,по правде,0.28508771929824556
за його думкою,в своих размышлениях,0.41295546558704455
аж до,лавина голодных смертей нарастала 3 месяца каждый месяц до самого лета.,2.901315789473684
одним словом,одним словом,0.08133971291866028
тільки шо,толку что,0.18421052631578946
все одно,ж,0.43609022556390975
із боку,со стороны фрн,0.7149122807017545
між іншим,н,0.47953216374269014
на світі,на свете,0.11513157894736842
все одно,тоже самое,0.4210526315789473
все одно,"їх, хоч як тасуй, у цій засаленій колоді все одно жодної пристойної карти не витягнеш.",2.1992481203007515
не раз,не один раз,0.44736842105263164
таким чином,takim chinom,0.034210526315789476
убік,убежал,0.3421052631578947
у кінці,на конце,0.27819548872180455
у кінці,у конца,0.11654135338345864
за рахунок,za schet,0.283625730994152
убік,сбоку,0.34868421052631576
з урахуванням,s rasschetom,0.23684210526315788
все одно,все одно,0.08270676691729323
із боку,возле,0.35526315789473684
як би не так,как бы не так,0.05263157894736842
за рахунок,за родину,0.10818713450292397
на світі,обо всем на свете,0.5098684210526315
між іншим,между,0.2543859649122807
у відповідь,увидел,0.2799043062200957
за чутками,за чувства,0.14035087719298245
що називається,что называется,0.10150375939849623
між іншим,между делом,0.19005847953216373
в будь-якому випадку,в каком-нибудь виде,0.24303405572755415
але ж,"но ведь действительно как хорошо!, - сказал он, словно озаренный новой идеей.",3.3223684210526314
нічого подібного,ничего подобн,0.17719298245614035
чи що,что ещё,0.3894736842105263
тільки шо,д,0.45112781954887216
після закінчення,по окончании,0.2280701754385965
з урахуванням,с равными,0.2631578947368421
одним словом,н,0.4617224880382776
хіба що,если что,0.2744360902255639
не те що,не то что,0.07894736842105263
що називається,chto nazyvaetsja,0.12593984962406013
між іншим,между прочим,0.22514619883040934
ще і,что и,0.14736842105263157
що називається,chto nazyvaetsya,0.12406015037593984
чим більше,"хотя чем больше времени проходит, тем очевиднее то, что многие хорошо понимали еще в наполненные космической романтикой шестидесяты.",1.2171052631578947
аж до,ах до,0.09868421052631579
чи що,что ещ,0.49473684210526314
чи не,едва ли не,0.75
за чутками,немного,0.23684210526315788
за його думкою,po ego mneniu,0.24898785425101214
поруч з,вместе с,0.37719298245614036
поруч з,заручки с,0.2719298245614035
чи що,или что,0.2894736842105263
в будь-якому випадку,будь как будет,0.22600619195046442
убік,убив,0.07236842105263158
з урахуванням,с учетом,0.256578947368421
судячи з усього,sudya po etomy,0.1951754385964912
від того що,ввиду того что,0.1291866028708134
саме що,само ещё,0.19172932330827067
з приводу,по причине,0.2401315789473684
убік,в бок,0.3157894736842105
неподалік від,nepodaleky,0.1376518218623482
між іншим,mejdy prochim,0.21929824561403508
по сутi,по стуи,0.18859649122807015
за рахунок,за -,0.3450292397660819
з огляду на,изза,0.3801169590643275
убік,как,0.18421052631578946
в будь-якому випадку,v ljubom sluchae,0.2770897832817338
між іншим,меж прочим,0.20760233918128654
за чутками,за штуками,0.14912280701754385
після закінчення,posle okonchaniya,0.15614035087719297
не раз,"нк раз я видел , как они, пораненые стрилою, знаходяться далеко от хирургов перевязывали себя",2.652631578947369
мало не,едва ли не,0.3728070175438596
тільки шо,"вот только что никого не было, и вдруг откудато взялся.",1.6315789473684204
перш ніж,пока не,0.22932330827067668
перш ніж,перед тем,0.21428571428571427
перш ніж,"однако эту проблему очень трудно решить, и пройдет много лет, прежде чем мы станем свидетелями будівництва подходящих термоядерных реакторов.",1.1766917293233077
хоча і,хочет и,0.13157894736842105
ціле життя,цель жизни,0.1868421052631579
неподалік від,недалеко от оперы,0.2651821862348178
за рахунок,на рахуно,0.09649122807017543
мало не,malo,0.17982456140350878
не інакше як,ни кто иной как,0.1889952153110048
чи що,еще что,0.2894736842105263
у відповідь,и ответ,0.29425837320574166
аж до,и так до,0.3486842105263158
в істоті,по правде,0.24671052631578952
чи що,или как?,0.4526315789473685
все одно,одинаково,0.3458646616541354
але ж,а что,0.3618421052631579
неподалік від,недалеко от,0.18421052631578946
ще і,esche,0.29473684210526313
за його думкою,с его мысли,0.2388663967611336
за рахунок,я не знаю,0.27192982456140347
можна сказати,так сказать,0.19736842105263158
як відомо,как выглядило,0.24473684210526314
в результаті,л,0.2631578947368421
з огляду на,наглядно но,0.14912280701754385
з приводу,из-за представления,0.6875
чи що,или как,0.4526315789473685
чим більше,больше,0.24342105263157895
за рахунок,?,0.2807017543859649
з урахуванням,устанавливающий,0.38596491228070173
як тільки,если только,0.26644736842105265
від того що,для того чтобы,0.2488038277511962
з приводу,из-за,0.4078947368421053
з приводу,в связи с принятием,0.7138157894736842
з приводу,с наступлением,0.5361842105263157
неподалік від,неподалеку,0.15991902834008098
хіба що,медовуха,0.22932330827067668
тільки шо,только что бы,0.2932330827067669
за рахунок,на  утро,0.24853801169590642
хіба що,варенье,0.2706766917293233
в істоті,н,0.4736842105263158
хіба що,"разве что «вареную» (этот давний напиток украинцев называли еще варенухой, варехой)",1.849624060150375
все одно,всё равно,0.21428571428571427
мало не,если не,0.32017543859649117
не раз,д,0.4157894736842105
саме що,сама что,0.07518796992481203
за його думкою,по их мнению,0.22874493927125508
у відповідь,видно,0.3277511961722488
мало не,мало не,0.05701754385964912
з урахуванням,ураняние,0.22587719298245615
саме що,себе что,0.14285714285714285
з огляду на,s ogliadkoi,0.2046783625730994
як би не так,моас,0.35
чи що,еще,0.2736842105263158
що називається,chto nazuvaetsya,0.12218045112781954
таким чином,таким видом,0.06578947368421054
поруч з,поручение,0.4473684210526315
ціле життя,очень сильно,0.2631578947368421
не те що,ne,0.3609022556390977
з урахуванням,я не знаю,0.24999999999999997
між іншим,меж ними,0.1871345029239766
із боку,из бока,0.03070175438596491
ну гаразд,ну горазд,0.039473684210526314
в істоті,в итоге,0.17763157894736845
за його думкою,po ego mneniju,0.2550607287449393
аж до,аж то,0.05263157894736842
у відповідь,видимо,0.2942583732057416
в будь-якому випадку,в какой-то мере,0.2693498452012384
але ж,а вот,0.1842105263157895
в істоті,b,0.3980263157894737
ради бога,ради бог,0.1381578947368421
нічого подібного,nichego,0.31228070175438594
від того що,от того что,0.24162679425837322
нічого подібного,н,0.475438596491228
не те що,не то сейчас,0.3270676691729323
в будь-якому випадку,v kakom-nibud,0.2244582043343653
на себе,на себя,0.07017543859649122
поруч з,передав,0.23684210526315788
як відомо,kkk,0.27368421052631575
з урахуванням,всвязи,0.34210526315789475
у відповідь,у,0.4569377990430623
з приводу,с подписанием,0.46710526315789475
в будь-якому випадку,v lubom sluchae,0.2879256965944273
як відомо,как видимо,0.14210526315789473
за рахунок,засчет,0.26900584795321636
не інакше як,никто ино,0.23923444976076558
від того що,после того что,0.23923444976076555
за чутками,slyxam,0.2222222222222222
ради бога,ради бога,0.0888157894736842
з приводу,привод,0.19407894736842105
поруч з,ведущий,0.2763157894736842
як відомо,kak vidimo,0.10526315789473685
а то й,а то и,0.17105263157894737
поруч з,поручено,0.24561403508771928
у кінці,в конце поезда,0.537593984962406
що називається,как называется,0.16729323308270677
з урахуванням,с сохранением,0.19736842105263155
у формі,v vide,0.23245614035087717
ціле життя,больше жизни,0.19473684210526315
після того як,после того,0.23684210526315788
за рахунок,за право,0.2543859649122807
за чутками,chutok,0.2777777777777778
тільки шо,вот только,0.2819548872180451
але ж,а ведь,0.17105263157894737
не інакше як,ну иначе как,0.11483253588516745
у формі,в форме,0.08771929824561403
все ж,и всё же,0.4342105263157895
ще і,так же и,0.35263157894736846
в будь-якому випадку,в людом случае,0.2724458204334365
перш ніж,ө,0.4285714285714285
у відповідь,у великого,0.25598086124401914
убік,в сторону,0.8289473684210527
за рахунок,за,0.39766081871345027
нічого подібного,ничего похожего,0.15263157894736842
ну гаразд,ну,0.3782894736842105
як відомо,по-видимому,0.17105263157894737
убік,убить,0.039473684210526314
перш ніж,перед ними,0.2894736842105263
в тому числі,"в результате два вида рыб вымерли, а два других оказались под угрозой исчезновения, в том числе – горбатый головень",0.7815789473684213
з приводу,с принятием,0.3223684210526316
з огляду на,со ссылкой на,0.23976608187134502
ціле життя,"у якихсь мемуарах раневської я прочитала, що вона ціле життя любила пушкіна.",0.9078947368421055
у формі,ыфвфвы,0.2763157894736842
з приводу,по поводу,0.2105263157894737
в істоті,v suchnosti,0.2006578947368421
чи що,или что-нибудь,0.7894736842105262
тут же,сейчас же,0.493421052631579
між іншим,может быть,0.17543859649122806
за чутками,е,0.4619883040935673
убік,е,0.4144736842105263
у кінці,вфывфыв,0.31954887218045114
з огляду на,на взгляд,0.23391812865497075
судячи з усього,по слухам,0.25219298245614036
хіба що,разве что,0.22180451127819548
не раз,nje raz,0.17894736842105263
чи не,ли не,0.125
за рахунок,ыфвфвы,0.38888888888888895
у кінці,вагоны метроплюс всегда находятся в конце поезда ближе к кейптауну.,1.7894736842105257
з огляду на,с точки зрения,0.3771929824561403
ціле життя,всю жизнь,0.2710526315789474
із боку,фывфв,0.3552631578947368
із боку,so storoni,0.45614035087719296
все одно,все одни,0.12781954887218044
у відповідь,д,0.4832535885167465
судячи з усього,п,0.44736842105263164
у відповідь,у места,0.28468899521531105
за рахунок,за поддержку,0.28654970760233917
але ж,но как же,0.6447368421052632
поруч з,рядом,0.2850877192982456
в результаті,"у 16 столітті в результаті зіткнень іспанських завойовників з групами корінних народів був створений парагвай, який раніше називався гігантською провінцією індійців.",1.3236842105263162
до сих пір,do s,0.3157894736842105
все одно,вс,0.3308270676691729
від того що,"вид того, что",0.18421052631578946
мало не,едва ли,0.2894736842105263
на себе,б,0.3464912280701754
після того як,после того как,0.1381578947368421
із боку,с боку,0.08771929824561403
з приводу,за принятие,0.319078947368421
після закінчення,после конца,0.2263157894736842
тільки шо,"от тільки шо нікого не було, аж осьдечки й він, де не взявся.",1.447368421052631
ще і,также,0.29473684210526313
за його думкою,за его умом,0.19230769230769232
між іншим,mezh prochego,0.27485380116959063
аж до,до самого,0.7368421052631579
після закінчення,после окончания,0.19824561403508772
з приводу,s prinjatija,0.34210526315789475
у відповідь,у господ,0.24401913875598089
ціле життя,целую жизнь,0.23421052631578948
одним словом,оодн,0.36363636363636365
можна сказати,mozhno skazat',0.05921052631578947
тим більше,тем более,0.14144736842105263
саме що,то что,0.20676691729323307
після того як,тосле того как,0.15350877192982454
як відомо,kak izvestno,0.2368421052631579
у відповідь,в,0.43301435406698574
все одно,все равно,0.20676691729323307
як би не так,как так,0.22631578947368425
як тільки,"будьте уверены, что как только вы доберетесь марини, все будет достаточно очевидным. вы встретите других човнових попутчиков и они поделятся с вами своей информацией",1.0164473684210527
не інакше як,не иначе как,0.11722488038277512
за рахунок,за кусок,0.14619883040935672
але ж,но ведь,0.44078947368421056
судячи з усього,судя по всему,0.1381578947368421
по сутi,б,0.3070175438596491
чи не,ты не,0.06578947368421052
ну гаразд,ну ладно,0.22368421052631576
мало не,чуток не,0.24561403508771928
неподалік від,неподалёку на,0.13360323886639675
одним словом,odnim slovom,0.043062200956937795
ще і,это,0.33684210526315794
але ж,если это,0.7302631578947368
ціле життя,г,0.4157894736842105
можна сказати,mozno skazat,0.06359649122807018
між іншим,между ними,0.21052631578947367
з огляду на,фывфыв,0.33040935672514615
в результаті,в результаты,0.06842105263157895
в будь-якому випадку,такой поступок,0.25386996904024767
як би не так,kak,0.3736842105263158
убік,"автомат полетів далеко убік, «корінь» в паніці кинувся в хащі.",2.822368421052632
з приводу,с приручением,0.4276315789473684
від того що,из за того что,0.19617224880382775
хіба що,это что,0.18421052631578946
не раз,не раз,0.02631578947368421
з огляду на,рассматривая,0.3391812865497076
саме що,сами,0.24812030075187969
ще і,еще и,0.2736842105263158
в істоті,po sush,0.26973684210526316
а то й,с этой,0.31578947368421045
перш ніж,/,0.3872180451127819
від того що,"от того, что",0.24162679425837322
у відповідь,в ответ,0.291866028708134
поруч з,riadom,0.3157894736842105
ну гаразд,большой,0.3059210526315789
не раз,ни раз,0.04736842105263158
з приводу,с приводу,0.07236842105263157
з урахуванням,здравоохранение,0.3574561403508772
в істоті,в сущности,0.19407894736842105
убік,упал,0.1513157894736842
аж до,аж до,0.039473684210526314
в будь-якому випадку,будь кому попадётся,0.17801857585139322
у кінці,в хвосте,0.30451127819548873
не інакше як,kak,0.3971291866028709
за його думкою,по его мысли,0.23684210526315794
тут же,ш,0.4013157894736842
не інакше як,ни кто,0.3014354066985646
в будь-якому випадку,по крайней мере,0.24613003095975233
в результаті,в результате,0.05526315789473685
аж до,прям до,0.48026315789473684
за його думкою,за его мыслью,0.14979757085020245
судячи з усього,исходя из все,0.293859649122807
між іншим,между нами,0.195906432748538
хоча б,хотя бы,0.1631578947368421
а то й,а может и,0.48684210526315785
з огляду на,с оглядкой на,0.195906432748538
все ж,всё же,0.2631578947368421
таким чином,takim obrazom,0.15263157894736845
аж до,прямо до,0.6052631578947368
можна сказати,mojna skazat,0.08771929824561403
перш ніж,прежде чем,0.2819548872180451
хіба що,есть щи,0.3195488721804511
судячи з усього,судя по этому,0.14912280701754385
ціле життя,целое,0.23157894736842105
поруч з,микрофон,0.3114035087719298
ну гаразд,ну горазд...,0.2236842105263158
чи не,или не,0.3092105263157895
як тільки,но только,0.15789473684210525
за його думкою,не его мыслью,0.17813765182186234
ціле життя,полные жительства,0.43421052631578944
перш ніж,до того,0.29699248120300753
в результаті,а результате,0.05
після того як,"после того, как",0.17982456140350875
хоча б,хотя бы?,0.26315789473684215
все ж,всё таки,0.5460526315789473
після закінчення,pos,0.4157894736842105
з урахуванням,по порядку,0.25
чи що,еще что?,0.45789473684210524
на світі,на светк,0.18421052631578946
ну гаразд,ну гороздо,0.12171052631578948
не інакше як,не кто другой а,0.2272727272727273
а то й,а тем,0.17763157894736842
не те що,не точ,0.19172932330827067
все одно,"хоть как тасуй калоду, всё равно хорошей карты не вытянуть.",1.992481203007518
чи що,esche,0.19473684210526318
судячи з усього,sudja po vsemu,0.1535087719298246
з огляду на,с осмотра на,0.1783625730994152
у відповідь,"респондент у відповідь на це поцікавився, чи не з'являється іноді над його зеленими столами привид композитора вагнера.",1.4712918660287075
у відповідь,совсем,0.3325358851674642
що називається,как говорится,0.23308270676691728
чи не,что ни,0.27631578947368424
за його думкою,по его мнению,0.2145748987854251
все одно,и одной,0.2969924812030075
чи не,или нет,0.4473684210526316
як тільки,как тильки,0.04934210526315789
в будь-якому випадку,и будь такому выродку,0.09752321981424149
неподалік від,ыфвфв,0.40485829959514164
поруч з,я не знаю,0.41666666666666663
саме що,тоже самое,0.3609022556390977
усього-на-всього,всего на всего,0.15570175438596492
за чутками,за исключением,0.4181286549707601
у кінці,у кинци,0.09774436090225563
поруч з,?,0.37719298245614036
можна сказати,м,0.23026315789473684
поруч з,руководитель,0.6271929824561403
тим більше,а тем более,0.29276315789473684
на світі,б,0.17763157894736842
не раз,"не раз я бачив, як вони, поранені стрілою, знаходячись далеко від хірургів, перев'язували себе, заліпивши рану жменею землі, змішаною на долоні з порцією власної слини.",3.1736842105263174
тут же,тут же,0.15131578947368418
з огляду на,ввиду,0.29239766081871343
в істоті,в истории,0.18092105263157893
як би не так,как бы ге так,0.08157894736842106
все ж,все ж,0.07894736842105263
після закінчення,после завершения,0.16140350877192983
від того що,вид того что,0.18421052631578946
на себе,на себе,0.04824561403508772
у формі,на форме,0.19298245614035087
з приводу,насчет,0.29276315789473684
аж до,и до,0.18421052631578946
з приводу,вышел,0.319078947368421
чи не,еще,0.21710526315789475
до сих пір,д,0.4375
з огляду на,не смотря на,0.21052631578947367
чи не,что,0.24999999999999997
неподалік від,неподалеку от,0.10931174089068826
можна сказати,можно сказать,0.07675438596491227
хіба що,вроде как,0.3684210526315789
хоча і,хотя и,0.06140350877192982
хоча б,хочу в,0.12105263157894736
ради бога,radi boga,0.09868421052631578
після закінчення,ывфыв,0.3982456140350876
убік,убик,0.006578947368421052
нічого подібного,ничего подобного,0.09999999999999999
чи не,что не,0.26973684210526316
в істоті,в целом,0.2861842105263158
усього-на-всього,всего-навсего,0.15570175438596492
ще і,еще и в,0.3526315789473684
судячи з усього,судьи за всех,0.20175438596491227
із боку,сбоку,0.08771929824561403
аж до,даже до,0.4144736842105263
все одно,одинакого,0.35714285714285715
по сутi,"по сутi, партія більшовиків брала на озброєння есерівську аграрну програму.",2.184210526315789
все ж,и все же безуспешно реализовать в массовых масштабах организационно-государственного замещения колхозов обосновывалось,3.263157894736842
як тільки,как только,0.06249999999999999
але ж,не знаю,0.6776315789473684
усього-на-всього,всего навсего,0.15570175438596492
з урахуванням,урегулируемый,0.26754385964912275
неподалік від,неподалёку вид,0.07894736842105264
з приводу,с приходом,0.14473684210526316
хіба що,ошибка в том,0.3458646616541353
до сих пір,"цивілізований світ до сих пір не знає не те що літератури української, а й взагалі такої країни, такого народу.",1.2532894736842104
за чутками,за горами,0.14327485380116958
з приводу,po povody,0.22039473684210528
не інакше як,не кто иной как,0.17464114832535885
аж до,вплоть до,0.5723684210526315
хоча і,"тигр, как всесторонне развитый атлет, может карабкаться в гору (хотя и не очень умело)",1.3114035087719296
як відомо,как известно,0.22105263157894742
що називається,так называется,0.15413533834586468
не те що,не те что,0.05639097744360902
ще і,ещё и,0.28421052631578947
чим більше,чем больше,0.08552631578947367
а то й,а то,0.15789473684210525
ну гаразд,ну дает,0.16776315789473684
між іншим,muzh ih,0.28654970760233917
аж до,aj do,0.10526315789473684
що називається,tak nazivaetsa,0.17481203007518797
ну гаразд,ну силен,0.17763157894736842
з огляду на,взгляд на,0.195906432748538
тим більше,"интересно послушать, а тем более дать и свой «бесценный» пораду свр.",1.2927631578947367
після закінчення,по окончанию,0.21052631578947367
убік,ушел,0.19736842105263158
ціле життя,целая жизнь,0.21578947368421053
з урахуванням,с учётом,0.24999999999999997
на світі,na svete,0.12171052631578946
за його думкою,за его думами,0.11943319838056679
з урахуванням,фывфвы,0.3859649122807018
за чутками,я чувствую,0.26608187134502925
на світі,про все на свете,0.42763157894736836
у відповідь,посмотрев,0.2272727272727273
тільки шо,только что,0.15037593984962405
неподалік від,не далеко,0.22064777327935226
з приводу,вывфв,0.3651315789473684
за рахунок,за рисунок,0.08771929824561403
за чутками,как чутко,0.23684210526315788
з огляду на,я не знаю,0.2777777777777778
у відповідь,отповедь,0.222488038277512
хіба що,давний напиток украинцев называли,1.6879699248120297
судячи з усього,как выглядит из его,0.3179824561403508
ну гаразд,nu,0.3782894736842105
від того що,"димка проснулся от того, что кто-то его **** и кричал от того, что кто-то его **** и кричал",0.88755980861244
таким чином,таким чином,0.04736842105263158
з огляду на,с взгляда на,0.1871345029239766
хіба що,кислые щи,0.3195488721804511
усього-на-всього,всег,0.39473684210526316
але ж,если и,0.44736842105263164
з огляду на,учитывая,0.29824561403508765
хоча б,хотя б,0.06842105263157895
до сих пір,до сих пор,0.05592105263157894
поруч з,поручить,0.19298245614035087
убік,убржал,0.39473684210526316
чи не,ne,0.29605263157894735
в істоті,v nature,0.24671052631578946
у формі,v forme,0.19298245614035087
але ж,если же,0.618421052631579
саме що,сам что,0.12406015037593984
