phrase l2,surprisal_phrase l2,sentence l2,surprisal_sentence l2,phrase ru,surprisal_phrase ru,sentence ru,surprisal_sentence ru,literal translation,surprisal_literal translation,phrase ru with literal,surprisal_phrase ru with literal
lze říci,"{'lze': 8.994302749633789, 'rici': 17.209903240203857}","lze říci, že trasu letu lze měnit pouze z důvodu zajištění bezpečnosti a ochrany zdraví.","{'lze': 10.654317855834961, 'rici,': 19.665699005126953, 'ze': 6.258973121643066, 'trasu': 17.85002613067627, 'letu': 11.85400390625, 'menit': 14.40349292755127, 'pouze': 15.409320831298828, 'z': 3.528592109680176, 'duvodu': 20.95840072631836, 'zajisteni': 21.642955780029297, 'bezpecnosti': 24.26987648010254, 'a': 4.88607120513916, 'ochrany': 18.58358860015869, 'zdravi.': 13.437263488769531}",можно сказать,"{'можно': 0.0, 'сказать': 4.402440071105957}","можно сказать, что трассу полета можно менять только в интересах безопасности и защиты здоровья.","{'можно': 3.570427894592285, 'сказать,': 5.084597587585449, 'что': 0.3998088836669922, 'трассу': 13.684341430664062, 'полета': 11.225227355957031, 'менять': 6.814786911010742, 'только': 5.192315101623535, 'в': 1.565567970275879, 'интересах': 7.975916862487793, 'безопасности': 3.7647600173950195, 'и': 2.6444578170776367, 'защиты': 4.589694976806641, 'здоровья.': 5.521780967712402}",возможно речь,"{'возможно': 0.0, 'речь': 9.654094696044922}","возможно речь, что трассу полета можно менять только в интересах безопасности и защиты здоровья.","{'возможно': 0.0, 'речь,': 14.738160133361816, 'что': 3.226369857788086, 'трассу': 13.456186294555664, 'полета': 11.775604248046875, 'можно': 4.276374816894531, 'менять': 4.86778450012207, 'только': 4.863792419433594, 'в': 1.6301689147949219, 'интересах': 8.000584602355957, 'безопасности': 3.5097742080688477, 'и': 2.7545785903930664, 'защиты': 4.343496322631836, 'здоровья.': 6.767866134643555}"
v podstatě,"{'v': 0.0, 'podstate': 24.980830192565918}","jediné, co udělám ― jediné, co si troufnu udělat ― bude v podstatě taková hloupost…","{'jedine,': 10.896520614624023, 'co': 1.7587947845458984, 'udelam': 30.29809284210205, '--': 2.8232479095458984, 'si': 7.992063522338867, 'troufnu': 28.52795124053955, 'udelat': 11.574983596801758, 'bude': 12.565030097961426, 'v': 4.786192893981934, 'podstate': 23.362500190734863, 'takova': 17.104541778564453, 'hloupost...': 27.61475944519043}",в сущности,"{'в': 0.0, 'сущности': 9.258739471435547}","все, что сделаю, все, что посмею сделать, будет, в сущности, такая малость…","{'все,': 3.538494110107422, 'что': 0.14534759521484375, 'сделаю,': 11.705230712890625, 'посмею': 8.01599407196045, 'сделать,': 4.730025291442871, 'будет,': 8.901948928833008, 'в': 5.402677536010742, 'сущности,': 4.199944496154785, 'такая': 8.805124282836914, 'малость…': 6.453474998474121}",под стать,"{'под': 0.0, 'стать': 11.06812858581543}","все, что сделаю, все, что посмею сделать, будет, под стать, такая малость…","{'все,': 3.538494110107422, 'что': 0.14534759521484375, 'сделаю,': 11.705230712890625, 'посмею': 8.01599407196045, 'сделать,': 4.730025291442871, 'будет,': 8.901948928833008, 'под': 9.006153106689453, 'стать,': 6.974865913391113, 'такая': 9.22848892211914, 'малость…': 8.485208511352539}"
jak je známo,"{'jak': 6.630247116088867, 'je': 9.261003971099854, 'znamo': 12.720904350280762}","jak je známo, bzučet mohou jedině včely.","{'jak': 6.630248546600342, 'je': 9.261002540588379, 'znamo,': 15.901448249816895, 'bzucet': 22.613959312438965, 'mohou': 18.695307731628418, 'jedine': 14.129380226135254, 'vcely.': 21.896836280822754}",как известно,"{'как': 0.0, 'известно': 6.380215167999268}","как известно, жужать могут только пчелы.","{'как': 0.0, 'известно,': 6.781369686126709, 'жужать': 18.570141792297363, 'могут': 5.213468551635742, 'только': 1.092839241027832, 'пчелы.': 4.137138366699219}",как это знакомо,"{'как': 0.0, 'это': 5.3333420753479, 'знакомо': 7.2438063621521}","как это знакомо, жужать могут только пчелы.","{'как': 0.0, 'это': 5.3333420753479, 'знакомо,': 9.432159423828125, 'жужать': 15.960134506225586, 'могут': 8.059219360351562, 'только': 1.9655561447143555, 'пчелы.': 4.697939872741699}"
podle něj,"{'podle': 11.944719314575195, 'nej': 15.930601119995117}",podle něj je tohle jeden z hlavních důvodů.,"{'podle': 11.944716453552246, 'nej': 15.930598258972168, 'je': 9.401795387268066, 'tohle': 15.12535285949707, 'jeden': 10.325352668762207, 'z': 3.1335926055908203, 'hlavnich': 22.45329761505127, 'duvodu.': 23.897238731384277}",по его мнению,"{'по': 0.0, 'его': 7.188804626464844, 'мнению': 1.915421485900879}","по его мнению, в этом состоит одна из основных причин.","{'по': 0.0, 'его': 7.188804626464844, 'мнению,': 2.051079750061035, 'в': 3.235586166381836, 'этом': 3.21903133392334, 'состоит': 5.624660491943359, 'одна': 3.3994264602661133, 'из': 0.027242660522460938, 'основных': 2.8117895126342773, 'причин.': 6.0419921875}",подле нее,"{'подле': 6.469727516174316, 'нее': 4.1806840896606445}","подле нее, в этом состоит одна из основных причин.","{'подле': 6.469727516174316, 'нее,': 6.387063026428223, 'в': 3.0499067306518555, 'этом': 6.221954345703125, 'состоит': 9.24752426147461, 'одна': 4.259328842163086, 'из': 0.05920600891113281, 'основных': 3.3951196670532227, 'причин.': 5.786779403686523}"
krátce řečeno,"{'kratce': 17.822553634643555, 'receno': 22.931367874145508}","krátce řečeno, jako jeho stájník. a také byste ošetřoval psy.","{'kratce': 17.822550773620605, 'receno,': 25.342150688171387, 'jako': 11.857333183288574, 'jeho': 10.09269905090332, 'stajnik.': 20.805776596069336, 'a': 7.697559356689453, 'take': 11.074875831604004, 'byste': 15.854113578796387, 'osetroval': 24.03637981414795, 'psy.': 16.73476791381836}",одним словом,"{'одним': 6.0306901931762695, 'словом': 2.2404518127441406}","одним словом, у него в конюхах. и собак смотреть.","{'одним': 6.0306901931762695, 'словом,': 2.908140182495117, 'у': 4.477239608764648, 'него': 2.51339054107666, 'в': 3.7600574493408203, 'конюхах.': 21.68631649017334, 'и': 8.0938720703125, 'собак': 7.834565162658691, 'смотреть.': 11.752065658569336}",краткая речь,"{'краткая': 9.104762077331543, 'речь': 2.559019088745117}","краткая речь, у него в конюхах. и собак смотреть.","{'краткая': 9.104762077331543, 'речь,': 4.7473955154418945, 'у': 6.932260036468506, 'него': 2.629878044128418, 'в': 3.897235870361328, 'конюхах.': 21.877970695495605, 'и': 8.031660079956055, 'собак': 8.537132263183594, 'смотреть.': 11.114680290222168}"
jak se říká,"{'jak': 6.630247116088867, 'se': 7.739538192749023, 'rika': 14.040971755981445}","posud nepozbyla své krásy, ani zdraví i byla, jak se říká krev a mléko.","{'posud': 12.988057136535645, 'nepozbyla': 31.550314903259277, 'sve': 8.457986831665039, 'krasy,': 16.689729690551758, 'ani': 9.14339542388916, 'zdravi': 10.36860179901123, 'i': 4.524372100830078, 'byla,': 11.155577659606934, 'jak': 6.011493682861328, 'se': 5.033072471618652, 'rika': 13.150771141052246, 'krev': 13.806180000305176, 'a': 9.350190162658691, 'mleko.': 20.95882225036621}",что называется,"{'что': 0.0, 'называется': 7.739140510559082}","она еще не утратила ни красоты, ни здоровья и была то, что называется кровь с молоком.","{'она': 0.0, 'еще': 8.13790512084961, 'не': 1.5764436721801758, 'утратила': 7.162281036376953, 'ни': 0.0058116912841796875, 'красоты,': 4.793107986450195, 'здоровья': 4.982287406921387, 'и': 3.2197952270507812, 'была': 2.095555305480957, 'то,': 13.24681282043457, 'что': 0.2078990936279297, 'называется': 0.6078701019287109, 'кровь': 10.023384094238281, 'с': 0.1977100372314453, 'молоком.': 0.29061126708984375}",как эта река,"{'как': 0.0, 'эта': 7.907790184020996, 'река': 8.37908935546875}","она еще не утратила ни красоты, ни здоровья и была то, как эта река кровь с молоком.","{'она': 0.0, 'еще': 8.13790512084961, 'не': 1.5764436721801758, 'утратила': 7.162281036376953, 'ни': 0.0058116912841796875, 'красоты,': 4.793107986450195, 'здоровья': 4.982287406921387, 'и': 3.2197952270507812, 'была': 2.095555305480957, 'то,': 13.24681282043457, 'как': 3.4244823455810547, 'эта': 7.545351028442383, 'река': 6.0600481033325195, 'кровь': 10.92231273651123, 'с': 3.6458730697631836, 'молоком.': 1.1945877075195312}"
podle všeho,"{'podle': 11.944719314575195, 'vseho': 18.40427589416504}","nejdříve většina médií tvrdila, že za vraždou podle všeho stojí mafie.","{'nejdrive': 19.09721279144287, 'vetsina': 22.849472045898438, 'medii': 12.977705001831055, 'tvrdila,': 21.833142280578613, 'ze': 6.472478866577148, 'za': 4.985966682434082, 'vrazdou': 23.315771102905273, 'podle': 10.226304054260254, 'vseho': 9.403234481811523, 'stoji': 10.517333984375, 'mafie.': 17.458017349243164}",судя по всему,"{'судя': 3.829318046569824, 'по': 0.02623748779296875, 'всему': 1.3844575881958008}","сначала большая часть сми, в том числе чешских, утверждала, что, судя по всему, за убийством стоит мафия.","{'сначала': 9.600203514099121, 'большая': 9.914268493652344, 'часть': 2.076535224914551, 'сми,': 12.676405906677246, 'в': 4.378875732421875, 'том': 0.9972467422485352, 'числе': 0.014984130859375, 'чешских,': 14.013254165649414, 'утверждала,': 8.584146499633789, 'что,': 5.2244415283203125, 'судя': 5.504661560058594, 'по': 0.0031299591064453125, 'всему,': 1.194906234741211, 'за': 6.146209716796875, 'убийством': 4.219578742980957, 'стоит': 1.5007457733154297, 'мафия.': 7.544580459594727}",подле всего,"{'подле': 6.469727516174316, 'всего': 6.93634033203125}","сначала большая часть сми, в том числе чешских, утверждала, что, подле всего, за убийством стоит мафия.","{'сначала': 9.600203514099121, 'большая': 9.914268493652344, 'часть': 2.076535224914551, 'сми,': 12.676405906677246, 'в': 4.378875732421875, 'том': 0.9972467422485352, 'числе': 0.014984130859375, 'чешских,': 14.013254165649414, 'утверждала,': 8.584146499633789, 'что,': 5.2244415283203125, 'подле': 11.312725067138672, 'всего,': 7.7464189529418945, 'за': 5.621891975402832, 'убийством': 9.243210792541504, 'стоит': 2.3310136795043945, 'мафия.': 7.804349899291992}"
proboha,{'proboha': 16.74202251434326},"lyšíš? páni jdou. proboha, heleno!","{'lysis?': 15.45042610168457, 'pani': 15.726347923278809, 'jdou.': 22.849470138549805, 'proboha,': 28.430551528930664, 'heleno!': 23.53253936767578}",ради бога,"{'ради': 0.0, 'бога': 11.743861198425293}","слышишь, господа пришли. нана: ради бога, елена!","{'слышишь,': 11.321529388427734, 'господа': 9.805421829223633, 'пришли.': 12.051640510559082, 'нана:': 28.02500867843628, 'ради': 9.870500564575195, 'бога,': 1.8520803451538086, 'елена!': 16.513798713684082}",про бога,"{'про': 0.0, 'бога': 13.268166542053223}","слышишь, господа пришли. нана: про бога, елена!","{'слышишь,': 11.321529388427734, 'господа': 9.805421829223633, 'пришли.': 12.051640510559082, 'нана:': 28.02500867843628, 'про': 7.041317939758301, 'бога,': 9.555548667907715, 'елена!': 19.897480964660645}"
asi spíš,"{'asi': 5.972299575805664, 'spis': 16.204808235168457}",ale asi spíš v tom lepším: na bezpráví a násilí jsem citlivější.,"{'ale': 0.0, 'asi': 15.113057136535645, 'spis': 17.10522747039795, 'v': 7.258493423461914, 'tom': 12.517463684082031, 'lepsim:': 25.70311737060547, 'na': 7.845036506652832, 'bezpravi': 22.002562522888184, 'a': 4.864996910095215, 'nasili': 13.505754470825195, 'jsem': 12.386409759521484, 'citlivejsi.': 34.8969783782959}",все же,"{'все': 0.0, 'же': 5.203333377838135}","правда, хорошего все же больше: я острее реагирую на несправедливость и насилие.","{'правда,': 1.364145278930664, 'хорошего': 9.747767448425293, 'все': 6.11635684967041, 'же': 1.5232486724853516, 'больше:': 5.946906089782715, 'я': 4.841170310974121, 'острее': 12.187150001525879, 'реагирую': 4.151192665100098, 'на': 0.1602001190185547, 'несправедливость': 4.81263542175293, 'и': 1.6153125762939453, 'насилие.': 6.703645706176758}",еще спишь,"{'еще': 0.0, 'спишь': 12.425360679626465}","правда, хорошего еще спишь больше: я острее реагирую на несправедливость и насилие.","{'правда,': 1.364145278930664, 'хорошего': 9.747767448425293, 'еще': 7.1041412353515625, 'спишь': 12.506786346435547, 'больше:': 12.167817115783691, 'я': 4.319808006286621, 'острее': 13.161408424377441, 'реагирую': 3.711979866027832, 'на': 0.2081470489501953, 'несправедливость': 5.212688446044922, 'и': 1.727029800415039, 'насилие.': 6.003852844238281}"
a navíc,"{'a': 0.0, 'navic': 17.85604476928711}",ovšem jednu z nejdivnějších – a navíc patřičně zpolitizovanou.,"{'ovsem': 11.028732299804688, 'jednu': 14.308565139770508, 'z': 3.048821449279785, 'nejdivnejsich': 38.66165733337402, '-': 5.923582077026367, 'a': 3.834535598754883, 'navic': 14.336095809936523, 'patricne': 26.84481906890869, 'zpolitizovanou.': 34.2346830368042}",еще и,"{'еще': 0.0, 'и': 3.6758852005004883}","правда, она получилась одной из самых странных, да еще и крайне политизированных.","{'правда,': 1.364145278930664, 'она': 4.398895263671875, 'получилась': 8.58271598815918, 'одной': 8.482558250427246, 'из': 0.17807388305664062, 'самых': 0.34848785400390625, 'странных,': 7.705413818359375, 'да': 5.181400299072266, 'еще': 2.640565872192383, 'и': 0.2843484878540039, 'крайне': 5.700366020202637, 'политизированных.': 10.620866775512695}",и на вид,"{'и': 0.0, 'на': 4.646613121032715, 'вид': 7.3956298828125}","правда, она получилась одной из самых странных, да и на вид крайне политизированных.","{'правда,': 1.364145278930664, 'она': 4.398895263671875, 'получилась': 8.58271598815918, 'одной': 8.482558250427246, 'из': 0.17807388305664062, 'самых': 0.34848785400390625, 'странных,': 7.705413818359375, 'да': 5.181400299072266, 'и': 0.6154308319091797, 'на': 4.3137006759643555, 'вид': 4.936600685119629, 'крайне': 6.648039817810059, 'политизированных.': 14.76291275024414}"
či co,"{'ci': 0.0, 'co': 9.27389907836914}","a cos ty myslil? prášek, či co?","{'a': 0.0, 'cos': 11.402376174926758, 'ty': 8.487807273864746, 'myslil?': 24.01415252685547, 'prasek,': 25.39138889312744, 'ci': 7.57667350769043, 'co?': 11.963571548461914}",что ли,"{'что': 0.0, 'ли': 6.380331516265869}","а ты что думал? порошок, что ли?","{'а': 0.0, 'ты': 6.94373893737793, 'что': 2.8706741333007812, 'думал?': 6.439391136169434, 'порошок,': 17.597968101501465, 'ли?': 1.0317230224609375}",или что,"{'или': 0.0, 'что': 5.494141101837158}","а ты что думал? порошок, или что?","{'а': 0.0, 'ты': 6.94373893737793, 'что': 3.6500463485717773, 'думал?': 6.439391136169434, 'порошок,': 17.597968101501465, 'или': 5.267192840576172, 'что?': 4.2446441650390625}"
nejen že,"{'nejen': 12.35546875, 'ze': 9.268451690673828}","nejen že nemohl vstát, ale připadalo mu, že nesmí ani otevřít oči.","{'nejen': 12.355469703674316, 'ze': 3.0395774841308594, 'nemohl': 17.274662971496582, 'vstat,': 22.25575828552246, 'ale': 4.773510932922363, 'pripadalo': 21.984864234924316, 'mu,': 11.959574699401855, 'nesmi': 15.865097045898438, 'ani': 9.506033897399902, 'otevrit': 23.69123363494873, 'oci.': 14.7711181640625}",не то что,"{'не': 0.0, 'то': 7.172945976257324, 'что': 1.6347408294677734}","не то что встать, ― ему казалось, что он не может открыть глаз.","{'не': 2.8336381912231445, 'то': 7.172945976257324, 'что': 0.17917823791503906, 'встать,': 11.637152671813965, '―': 13.16020393371582, 'ему': 7.046631813049316, 'казалось,': 5.4012908935546875, 'он': 1.0745258331298828, 'может': 0.9085063934326172, 'открыть': 5.336249351501465, 'глаз.': 3.1799983978271484}",не только же,"{'не': 0.0, 'только': 6.091549396514893, 'же': 7.2711381912231445}","не только же встать, ― ему казалось, что он не может открыть глаз.","{'не': 2.8481826782226562, 'только': 6.091548919677734, 'же': 7.27113676071167, 'встать,': 13.607120513916016, '―': 11.448705673217773, 'ему': 8.011198043823242, 'казалось,': 4.7962646484375, 'что': 0.155029296875, 'он': 1.2708063125610352, 'может': 1.1284294128417969, 'открыть': 5.093935012817383, 'глаз.': 2.9192028045654297}"
skoro ještě,"{'skoro': 9.080301284790039, 'jeste': 15.417585372924805}",některé sceny přečetli jsme několikrát za sebou; celý román jsme přečetli skoro dvakrát po sobě a po druhé líbil se nám skoro ještě víc než po prvé.,"{'nektere': 18.923652172088623, 'sceny': 19.442076683044434, 'precetli': 9.829927444458008, 'jsme': 4.944746017456055, 'nekolikrat': 27.88991355895996, 'za': 7.071521759033203, 'sebou;': 20.071836471557617, 'cely': 13.26450252532959, 'roman': 12.480871200561523, 'skoro': 6.82879638671875, 'dvakrat': 20.02308750152588, 'po': 7.060720443725586, 'sobe': 12.723089218139648, 'a': 6.230573654174805, 'druhe': 12.727909088134766, 'libil': 16.450371742248535, 'se': 7.35234260559082, 'nam': 10.033415794372559, 'jeste': 11.458491325378418, 'vic': 11.561421394348145, 'nez': 9.942577362060547, 'prve.': 14.827702522277832}",едва ли не,"{'едва': 8.080429077148438, 'ли': 3.121053695678711, 'не': 2.5206966400146484}","некоторые отдельные сцены мы прочли по нескольку раз; весь роман почти сплошь прочитали мы два раза, и во второй раз он нам понравился едва ли не более, чем в первый.","{'некоторые': 9.456701278686523, 'отдельные': 8.74688720703125, 'сцены': 7.416472911834717, 'мы': 4.735738754272461, 'прочли': 8.839332580566406, 'по': 3.049696922302246, 'нескольку': 4.152468681335449, 'раз;': 5.217639923095703, 'весь': 7.730554103851318, 'роман': 3.307389259338379, 'почти': 6.560694694519043, 'сплошь': 5.156129837036133, 'прочитали': 8.515451431274414, 'два': 7.947282791137695, 'раза,': 2.1541080474853516, 'и': 1.7216873168945312, 'во': 5.741413116455078, 'второй': 1.0180721282958984, 'раз': 0.07628250122070312, 'он': 2.91426944732666, 'нам': 2.427764892578125, 'понравился': 1.9206047058105469, 'едва': 8.504199028015137, 'ли': 0.029315948486328125, 'не': 0.45166778564453125, 'более,': 4.9359283447265625, 'чем': 0.0864715576171875, 'в': 0.38806724548339844, 'первый.': 0.6634140014648438}",скоро есть,"{'скоро': 0.0, 'есть': 6.985866069793701}","некоторые отдельные сцены мы прочли по нескольку раз; весь роман почти сплошь прочитали мы два раза, и во второй раз он нам понравился скоро есть более, чем в первый.","{'некоторые': 9.456701278686523, 'отдельные': 8.74688720703125, 'сцены': 7.416472911834717, 'мы': 4.735738754272461, 'прочли': 8.839332580566406, 'по': 3.049696922302246, 'нескольку': 4.152468681335449, 'раз;': 5.217639923095703, 'весь': 7.730554103851318, 'роман': 3.307389259338379, 'почти': 6.560694694519043, 'сплошь': 5.156129837036133, 'прочитали': 8.515451431274414, 'два': 7.947282791137695, 'раза,': 2.1541080474853516, 'и': 1.7216873168945312, 'во': 5.741413116455078, 'второй': 1.0180721282958984, 'раз': 0.07628250122070312, 'он': 2.91426944732666, 'нам': 2.427764892578125, 'понравился': 1.9206047058105469, 'скоро': 13.132126808166504, 'есть': 14.0745267868042, 'более,': 11.197681427001953, 'чем': 0.33559417724609375, 'в': 1.7205677032470703, 'первый.': 2.1553707122802734}"
nic takového,"{'nic': 5.166241645812988, 'takoveho': 34.4470272064209}",nic takového zjevně není v plánu.,"{'nic': 5.1662397384643555, 'takoveho': 34.44701957702637, 'zjevne': 24.71218967437744, 'neni': 14.368168830871582, 'v': 4.166851997375488, 'planu.': 15.452000617980957}",ничего подобного,"{'ничего': 0.0, 'подобного': 7.7904767990112305}",ничего подобного явно не планируется.,"{'ничего': 0.0, 'подобного': 7.7904767990112305, 'явно': 12.64900016784668, 'не': 0.30618762969970703, 'планируется.': 7.484468460083008}",ничего такого,"{'ничего': 0.0, 'такого': 6.237556457519531}",ничего такого явно не планируется.,"{'ничего': 0.0, 'такого': 6.237556457519531, 'явно': 9.675950050354004, 'не': 0.49385833740234375, 'планируется.': 7.824871063232422}"
do prčic,"{'do': 0.0, 'prcic': 26.279600143432617}","do prčic, jaká loterie?","{'do': 0.0, 'prcic,': 29.629234313964844, 'jaka': 13.832575798034668, 'loterie?': 23.078044891357422}",да ладно,"{'да': 0.0, 'ладно': 10.82226276397705}","да ладно, какая лотерея?","{'да': 0.0, 'ладно,': 11.621466636657715, 'какая': 7.084425926208496, 'лотерея?': 12.993688583374023}",до причем,"{'до': 0.0, 'причем': 13.493542671203613}","до причем, какая лотерея?","{'до': 0.0, 'причем,': 15.410176277160645, 'какая': 7.823697090148926, 'лотерея?': 13.90160846710205}"
nic jiného než,"{'nic': 5.166241645812988, 'jineho': 28.335912704467773, 'nez': 13.055188179016113}",není to nic jiného než klamavá reklama.,"{'neni': 10.149099349975586, 'to': 5.5399580001831055, 'nic': 11.069067001342773, 'jineho': 27.588825225830078, 'nez': 11.17835807800293, 'klamava': 20.6216459274292, 'reklama.': 13.829886436462402}",не иначе как,"{'не': 0.0, 'иначе': 10.061405181884766, 'как': 1.4983339309692383}","это не иначе, как обманчивая реклама.","{'это': 0.0, 'не': 3.480274200439453, 'иначе,': 9.684229850769043, 'как': 0.4846000671386719, 'обманчивая': 11.77602481842041, 'реклама.': 9.409138679504395}",ничего иного нет,"{'ничего': 0.0, 'иного': 8.982257843017578, 'нет': 5.032082557678223}",это ничего иного нет обманчивая реклама.,"{'это': 0.0, 'ничего': 6.813076019287109, 'иного': 8.60368824005127, 'нет': 4.377276420593262, 'обманчивая': 20.086240768432617, 'реклама.': 9.509475708007812}"
kousek od,"{'kousek': 15.816845893859863, 'od': 11.076717376708984}","stál kousek od mostu, co dělí tajland od kambodže.","{'stal': 3.608586311340332, 'kousek': 24.560405731201172, 'od': 4.721698760986328, 'mostu,': 19.56468963623047, 'co': 7.643727779388428, 'deli': 13.597888946533203, 'tajland': 21.157713890075684, 'kambodze.': 26.06203556060791}",почти что,"{'почти': 0.0, 'что': 4.318419456481934}","он стоял почти что у моста, разделявшего таиланд и камбоджу.","{'он': 0.0, 'стоял': 9.165116310119629, 'почти': 6.18043327331543, 'что': 4.986372947692871, 'у': 2.043607711791992, 'моста,': 7.899946212768555, 'разделявшего': 7.241416931152344, 'таиланд': 13.575677871704102, 'и': 2.733837127685547, 'камбоджу.': 6.852054595947266}",кусок от,"{'кусок': 10.895803451538086, 'от': 5.191823959350586}","он стоял кусок от у моста, разделявшего таиланд и камбоджу.","{'он': 0.0, 'стоял': 9.165116310119629, 'кусок': 11.709305763244629, 'от': 5.470417022705078, 'у': 9.029983520507812, 'моста,': 14.22113037109375, 'разделявшего': 10.256402492523193, 'таиланд': 13.610565185546875, 'и': 2.174957275390625, 'камбоджу.': 5.669431686401367}"
